Xianhe_NOUN _VERB_,2500
X_NOUN ⊆,2363
X.J._NOUN ,_.,1017
Xue Qi,2555
XXXII_NOUN _NOUN_,3171
XML file_NOUN,2446
X ray_NOUN,1465
X_NOUN _PRON_,27307
Xavier said_VERB,1598
Xiaotong _VERB_,1032
Xi to_PRT,2405
Xiao_NOUN would_VERB,2498
Xavier _PRT_,7807
Xiyan 's_PRT,1917
Xunzi_NOUN ,,1080
XPS_NOUN _VERB_,1338
Xiu _PRON_,1501
Xiao_NOUN who_PRON,1014
X e_NOUN,1553
Xinghe _ADV_,1255
Xander said,1554
Xia_NOUN Yang,1327
Xu_NOUN _VERB_,34414
Xu was_VERB,4710
XX_NOUN _CONJ_,1414
Xiao Liu,4276
Xiao_NOUN .,11480
XII_NOUN ._.,29052
Xin felt,1307
XXXIII_NOUN _._,6870
Xin_NOUN also_ADV,1031
Xavier_NOUN had,1655
XML _VERB_,2611
XXI_NOUN _._,21067
XRD analysis_NOUN,1566
XIII_NOUN _NUM_,1375
Xerxes ._.,1226
Xuemei_NOUN _._,1027
Xie Jin_NOUN,2843
Xiaomei _PRT_,2781
Xia_NOUN Hou_NOUN,3962
Xiaoming _VERB_,1336
XXIII_NOUN .,10444
Xiaobai _ADV_,1349
Xu_NOUN Huan,1215
XV Table,3909
Xiao Xiang_NOUN,1177
Xu did_VERB,1305
XIV :_.,1741
XVIII CHAPTER_NOUN,1472
X syndrome,3396
X_NOUN S_NOUN,1752
XIII_NOUN _._,48231
XXI_NOUN CHAPTER,1199
X1973_NUM _ADJ_,1140
X1973_NUM THE,1136
Xue_NOUN _CONJ_,5925
Xiao Chen,48470
XVI_NOUN Table,3669
Xiang_NOUN ',1668
XXI Table_NOUN,2627
XIV_NOUN 's_PRT,3252
Xiruo _._,1912
X I_PRON,1071
Xiang had,4723
X 2_NUM,28552
Xiu ,_.,8781
XIII THE_NOUN,1355
Xiaobao_NOUN ,,1093
X1975_NUM A,1297
XVIIIe_NOUN siècle,1100
XXV_NOUN _NOUN_,6668
Xiang .,4233
X_test ,_.,1004
Xinyue_NOUN 's,1283
Xu_NOUN Wenguang_NOUN,1882
X_NOUN _PRT_,32545
Xing frowned_VERB,1598
Xiao_NOUN ?,1508
Xi Jinping_NOUN,16921
Xiao Hong,4980
Xin Meng_NOUN,4429
Xiang_NOUN _PRT_,13555
XML_NOUN file,2448
XXVIII_NOUN ._.,6351
XV_NOUN (_.,1939
Xiaomei ._.,1043
XYZ_NOUN Company,2582
XX )_.,2622
Xu_NOUN to,1351
Xing thought,2401
XRF )_.,1010
Xin_NOUN took,1130
X receptor,1884
Xia_NOUN ._.,3838
Xiu_NOUN .,4165
X1975 THE,2540
Xin Yue,1535
Xiao Xu,1938
XV CHAPTER_NOUN,1780
Xuanyuan_NOUN _NOUN_,48607
X_NOUN C,1922
Xiao_NOUN Jing_NOUN,1946
Xiu had,3331
XVI ,_.,11650
XI_NOUN _ADP_,4383
Xiang_NOUN 's_PRT,10388
Xunzi_NOUN _._,1929
X T,3627
XRD_NOUN and_CONJ,1132
X [_X,6459
X._NOUN Y.,1629
XXVII Table,1624
Xue_NOUN Xiao_NOUN,1594
Xiao_NOUN asked_VERB,1624
Xiao Da,1262
Xi_NOUN ',2826
Xiu was_VERB,5242
X k,9428
X was,4099
Xia ,,21318
Xiang ,,15867
Xiaoping_NOUN 's,2438
Xiaosu_NOUN 's,1463
Xiang_NOUN asked,1230
Xu Y_NOUN,2409
Xiaobei _VERB_,1515
Xiyan was,1323
X. The,7607
XXI_NOUN Table_NOUN,2627
Xiaoqi_NOUN _VERB_,4532
X_NOUN ¯,7846
Xing to_PRT,2919
XXXIX_NOUN .,3132
XVII_NOUN )_.,1643
Xiaochun ,_.,1019
Xavier was,1991
XIV ,_.,14072
Xiaobai 's_PRT,4075
Xiong Hu,3441
Xing Kai_NOUN,1570
XS _NOUN_,1307
Xia_NOUN Qi_NOUN,1128
Xi asked_VERB,1552
XJ _._,3018
Xiang asked_VERB,1230
X_NOUN 's_PRT,11139
Xiaomei _._,2889
XXXVII _._,5596
Xu_NOUN Wang_NOUN,1737
Xiyan _PRT_,2558
X._NOUN J._NOUN,1364
Xiao_NOUN Wen_NOUN,14774
Xiang_NOUN 's,10394
Xi Yu,2233
Xin_NOUN .,9849
Xeon_NOUN _NOUN_,3644
Xia_NOUN _._,28358
Xiaoxiao_NOUN said_VERB,1176
Xu and_CONJ,8025
XT _._,2233
X_NOUN from,1832
Xun_NOUN 's_PRT,3612
XRD _NOUN_,12658
Xenopus laevis,1501
XX _._,35344
Xiao_NOUN Ying,5176
Xiaoxiao_NOUN was_VERB,7146
Xu_NOUN Huan_NOUN,1215
X_NOUN 3w,1625
XYZ ,,1005
Xiao Ya_PRON,8283
Xian had_VERB,1676
Xiao_NOUN Tian_NOUN,6037
Xiaoxiao_NOUN looked_VERB,1449
Xu_NOUN &_CONJ,1082
X ∪_NOUN,1838
Xiao_NOUN Qiao_NOUN,1306
XXVI _._,11945
X. and,3729
Xu_NOUN 's_PRT,8853
Xiao_NOUN Xiang_NOUN,1177
XXV _NOUN_,6678
Xiaoya 's_PRT,1194
Xiaoping .,1133
XXXV ,,1180
X_NOUN such_DET,1023
X_X _._,88955
X _ADP_,64157
X_NOUN Table_NOUN,5732
XXIV _NOUN_,7323
XXVI_NOUN .,7231
Xiaolian _VERB_,2733
X_ __,1237
Xiaoxue _._,2736
Xu_NOUN Yang_NOUN,1393
Xun_NOUN and,1430
Xue Bu_NOUN,1091
Xray_NOUN _NOUN_,1624
Xia Luo,33345
Xiong ,_.,10460
Xie_NOUN ,,26468
Xiaomei 's,2198
Xin ',3372
Xi_NOUN _PRT_,26554
Xue et,2293
X ¼_NOUN,1566
X. M.,1084
X_NOUN ∈,6188
XZ_NOUN _._,2762
Xiao who,1015
Xiao_NOUN Zhu_NOUN,1499
Xue_NOUN 's,12961
Xiaoping_NOUN _PRT_,3047
XIII_NOUN and_CONJ,1221
Xiu _ADV_,5486
Xin _CONJ_,8323
XXII_NOUN (_.,1019
Xin Meng,4429
XRD_NOUN _._,7842
Xiao Min_NOUN,6129
XIV CHAPTER,1890
XLV ._.,2181
X _PRT_,32546
X r,2523
XM _._,2710
XJ_NOUN _._,3010
X which_DET,1350
Xiamen _NOUN_,3012
X_NOUN s_VERB,2148
XXII_NOUN _._,16783
X to_PRT,9842
XIX_NOUN (_.,1460
XX_NOUN Table_NOUN,2842
Xiaobai ,,2263
Xuan is,1281
XXVIII _NOUN_,4904
Xin_NOUN was_VERB,12360
X. ;_.,4548
Xiaoqian _VERB_,1474
Xiaotian 's_PRT,4137
Xue Clan_NOUN,1217
X._NOUN M._NOUN,1084
XLVII .,2233
X_NOUN ,_.,239069
X.L._NOUN _._,1473
Xenopus_NOUN laevis,1281
Xue_NOUN Clan,1217
Xu_NOUN W,1160
Xerxes '_PRT,1916
XR_NOUN _._,3482
Xiangru _VERB_,1352
Xu_NOUN et_NOUN,15779
Xian _NOUN_,10024
X._NOUN Luo,1057
X. _PRT_,1150
Xin could,2855
Xue ._.,6295
X 11_NUM,1047
Xiang_NOUN Chu,1813
XYZ_NOUN _VERB_,2278
Xiao_NOUN Qi_NOUN,6336
XVII ._.,15991
XML file,2453
Xi_NOUN Yue_NOUN,1121
Xin had,5970
X. Zhao,1610
Xing_NOUN quickly,1074
XIV _._,58256
Xin _._,38224
Xinjiang_NOUN _VERB_,1889
XXIX_NOUN ._.,6050
X_NOUN |_.,6171
X_train ,_.,1643
Xiao_NOUN was_VERB,14733
X \_NOUN,1621
XI_NOUN )_.,3230
Xiao could_VERB,3765
Xiaobai ,_.,2263
XJ_NOUN ,_.,1742
Xiaofeng_NOUN was,1063
Xiao Guan_NOUN,1400
Xiang_NOUN Ye,1026
XO_NOUN _._,2903
Xi_NOUN Chong_NOUN,1089
Xing_NOUN asked_VERB,3093
X_NOUN j_NOUN,8333
XII _VERB_,4537
Xiong_NOUN 's,2596
Xiao_NOUN Qiao,1306
X_NOUN N,3077
Xiongnu _._,1001
Xa .,1419
Xian_NOUN had,1676
Xiaoyue_NOUN _._,1659
XIII (,2801
Xia_NOUN Yi,2330
Xu_NOUN Qian,2140
X4 _NOUN_,1040
XXVII_NOUN .,6894
X._NOUN _ADV_,4646
Xing_NOUN Kai,1570
X_NOUN X,54074
Xiaotian_NOUN ._.,1544
Xiaoyue_NOUN 's_PRT,1307
Xiao_NOUN Guan,1400
Xia .,3838
Xi '_PRT,2683
XVI _._,45133
Xiaoxiao_NOUN 's_PRT,8862
X_NOUN 5_NUM,5979
XXV _._,13387
Xiang_NOUN laughed_VERB,1871
Xi ?_.,1315
X1976_NOUN THE,2418
Xiaowei _VERB_,1433
Xin Yu_NOUN,1189
Xing nodded,2666
Xiao_NOUN Nan_NOUN,4200
X. Li_NOUN,5635
Xu_NOUN Yao,1133
Xu_NOUN Jun,1770
Xiangming _VERB_,1121
Xing_NOUN _ADP_,4971
X s_NOUN,2428
Xi_NOUN '_PRT,2683
X.Y._NOUN ,_.,1425
XRF_NOUN )_.,1010
Xu_NOUN Lan_NOUN,1857
Xiao was_VERB,14733
Xiaomei_NOUN _PRT_,2781
Xiu_NOUN -,2620
X_NOUN will_VERB,2624
X1 and,1237
Xiaoping_NOUN ,_.,3526
XV -_.,1458
Xiaomei _VERB_,7238
Xueqing_NOUN _VERB_,1834
Xiaoya_NOUN _._,1210
X =_PRT,1595
XIV of_ADP,1620
X_NOUN 12_NUM,1412
Xu .,5992
Xiao Xi_NOUN,2298
X_NOUN ¼_NUM,1507
Xin in,1275
Xinghe ,,1602
Xiao_NOUN _PRON_,9080
XIV_NOUN CHAPTER,1888
Xing quickly_ADV,1082
Xiong 's,2597
X_NOUN _DET_,14501
XXIII_NOUN _NOUN_,7735
XI (_.,3318
Xuan 's,18348
Xin_NOUN _ADV_,13762
X_NOUN ;,8131
Xiao Clan_NOUN,1284
X._NOUN Yang,1890
XL ._.,4069
X1981 A_NOUN,1321
XXVI ._.,7241
Xu_NOUN ',1191
XVII )_.,1705
Xue Xiao,1594
Xuan_NOUN would_VERB,1454
Xiao_NOUN Qing,3415
XVI_NOUN CHAPTER_NOUN,1673
XIX ),1055
Xiu_NOUN was,5242
X. (,20985
Xing_NOUN was_VERB,16782
X_NOUN does,1311
Xiao_NOUN said,5710
Xi felt_VERB,1335
Xiaohua_NOUN _VERB_,2537
Xin_NOUN said,4770
Xi Chen_NOUN,10641
Xander_NOUN .,3699
X.S. _._,1319
Xing_NOUN nodded_VERB,2666
Xiaoli _VERB_,3953
XIV 's,3254
Xiyan was_VERB,1322
X are,4507
Xia Hua,6734
Xin_NOUN '_PRT,3333
XIII THE,1415
XRD_NOUN _NOUN_,12621
X_NOUN },1886
X_X )_.,87313
Xiao Zhu_NOUN,1499
XV_NOUN _CONJ_,1047
Xu family,2033
Xiaoyu_NOUN _ADP_,1010
XXV ,_.,2075
Xu_NOUN Chen_NOUN,1184
X over_ADP,1009
Xiao_NOUN Yuan,1127
X. _CONJ_,5341
X 0_NUM,11437
Xiaosu_NOUN 's_PRT,1462
XXX_NOUN ,_.,2386
Xia Hou_NOUN,3962
Xuan_NOUN asked_VERB,1023
Xiaoxiao felt,1074
Xiya _VERB_,1402
Xlibris 1-888-795-4274_NUM,2393
XXXIV_NOUN _._,6449
Xiong_NOUN _NOUN_,19623
XRD_NOUN _CONJ_,1177
X ,,239129
Xu _PRON_,2937
X_NOUN the_DET,2793
Xin said_VERB,4770
X_NOUN chromosomes,2107
Xuan would_VERB,1454
Xn _PRON_,1253
X by,2767
Xavier_NOUN ._.,5146
XX_NOUN :_.,3934
XIX _._,24441
Xin suddenly_ADV,1219
XII_NOUN _ADP_,4184
Xiaoxiao ',1241
Xiao Xue,5052
X Table,5732
Xin felt_VERB,1307
X_NOUN 5d,3356
Xu_NOUN ,,76971
XI_NOUN (_.,3318
X A_NOUN,2982
XXIX_NOUN ,_.,1488
Xue said,2513
Xiao_NOUN Mi_NOUN,1232
Xiao He_PRON,1834
X_NOUN from_ADP,1832
Xenophon _CONJ_,1251
Xi_NOUN and_CONJ,7152
X H,1292
X_NOUN ∂,1109
Xianxian_NOUN 's,2187
Xhosa_NOUN _NOUN_,2899
Xiao Budian_NOUN,2400
X P_NOUN,1553
X_NOUN 3,19264
XAMPLE_NOUN _NUM_,1497
Xinghe_NOUN _ADV_,1251
Xi_NOUN could,1813
Xiaoyu .,1494
Xiaomeng_NOUN _VERB_,1357
XVI_NOUN and,1626
XXIX .,6050
Xiaotian_NOUN _._,4949
Xiaotian and,1089
XVII ),1705
X_NOUN is_VERB,56776
XIX_NOUN ,,4899
XBRL _NOUN_,1216
Xin took,1130
Xun _ADV_,1605
Xanthe_NOUN _VERB_,1569
Xiyan _VERB_,8013
Xiao_NOUN Xiao_NOUN,9211
Xu Yao_NOUN,1133
XXIX_NOUN ,,1488
Xiong_NOUN Hu_NOUN,3440
Xin suddenly,1219
Xiaobao ,_.,1093
Xiao_NOUN Luo_NOUN,2339
Xinhua_NOUN _._,3487
X ˙,1206
Xing_NOUN would_VERB,1567
X_NOUN F,1040
Xð_NOUN Þ_NOUN,1344
X.J. ,_.,1017
Xing_NOUN shook_VERB,1726
Xing_NOUN _NOUN_,51753
X. In,2257
Xuan _NOUN_,61054
Xenophon_NOUN and_CONJ,1162
Xiang _ADP_,2413
Xiao Yin_NOUN,1898
Xing had_VERB,5893
XL ,_.,4094
XC _._,2977
Xerox ,_.,1160
Xiyue 's,1184
Xiaoyu _._,5010
XXI_NOUN ),1603
Xiaoyu_NOUN .,1493
Xuan ',2773
Xiang Fei,3471
XML .,1303
XS_NOUN _._,2810
Xiao thought_VERB,1050
Xie_NOUN had,1295
XVI_NOUN CHAPTER,1673
XXXVI_NOUN _NOUN_,2287
X u,1155
Xia_NOUN Qi,1128
Xuan .,8014
Xu had,2358
Xiaochun_NOUN ,,1019
Xiao_NOUN Min_NOUN,6128
X. This_DET,1043
Xiaosu _._,1630
Xian ._.,2591
Xiyan_NOUN was_VERB,1322
X_NOUN ⊆_NOUN,2201
XVI_NOUN 's,1322
Xbox _NOUN_,2442
X1974_NUM THE,1086
X_X ),87313
X_NOUN The_DET,1169
Xiaoping ._.,1133
Xu Qing,3834
XVII_NOUN ,,5612
Xian was,3001
XLVIII_NOUN _._,3098
X_NOUN ×_NOUN,4054
Xie _ADP_,1084
XU _NOUN_,1430
XXII .,10322
Xu_NOUN Fu,1356
Xu_NOUN Ying,1489
Xi Chong,1089
X The,2376
Xing Bing_NOUN,2017
Xin looked_VERB,3927
XXIV_NOUN ,,2598
X_NOUN n_CONJ,12952
XL_NOUN ,_.,4090
Xu_NOUN Yao_NOUN,1133
X._NOUN CHAPTER_NOUN,1955
X.509 _NOUN_,1018
Xie_NOUN 's,5207
XXI (,1199
XVII ,_.,5651
XIII _NUM_,1460
Xiaolan _PRT_,1303
X 5_NUM,5979
Xylose _NOUN_,1563
XN _NOUN_,2289
Xing ,_.,20953
Xiu_NOUN 's_PRT,11599
Xi_NOUN _ADV_,10867
Xin_NOUN had,5970
Xie_NOUN had_VERB,1295
Xiao _NOUN_,773150
Xiu 's_PRT,11599
Xi'an _VERB_,1042
Xiang_NOUN ,_.,15855
X_NOUN Corps,1143
Xiaolan _._,1464
XIV_NOUN Table,4186
XXI_NOUN (_.,1199
XVII_NOUN Table,3405
Xenophon_NOUN .,1033
X_NOUN p_NOUN,2582
XIV ._.,33365
Xenia _._,1610
Xi_NOUN Chen_NOUN,10641
Xiao -_.,2169
Xiaotian_NOUN was_VERB,2589
X. _ADV_,5582
Xuan_NOUN said_VERB,4014
X_NOUN r,2509
Xiaomo_NOUN _VERB_,2297
X _END_,3414
Xin_NOUN immediately,1204
XVIII_NOUN ,,6117
Xing with,1095
X chromosomes,2111
Xiang ,_.,15857
Xiang _NOUN_,73953
Xiao had_VERB,8287
Xiao_NOUN Ye_NOUN,2965
Xi_NOUN Yan_NOUN,1517
Xian 's_PRT,5115
X_NOUN 6,3521
XVIII CHAPTER,1474
XVIII_NOUN _VERB_,1251
Xiaohe_NOUN _PRT_,1405
Xiang Yu_NOUN,6787
XXI CHAPTER_NOUN,1199
X_NOUN E_NOUN,1130
X1980 THE,1941
Xiaotian had_VERB,1228
XXI_NOUN (,1199
X2 ,,2681
Xiong et,2026
XI_NOUN XII_NOUN,1152
Xiao Ge_NOUN,1021
X. _._,170927
XVI_NOUN _NOUN_,16064
XX_X )_.,1540
Xia_NOUN Xue_NOUN,2687
Xie Min_NOUN,2221
Xiao_NOUN laughed,1962
Xu_NOUN Lan,1857
X1_NOUN and_CONJ,1032
X. _ADJ_,1634
X. Zhu_NOUN,1137
X M_NOUN,1050
X.Y._NOUN _._,1711
Xiaoyu was,2240
Xe_NOUN _._,2090
X_NOUN 12,1432
XI_NOUN .,31661
Xing_NOUN laughed_VERB,4042
Xiang_NOUN to,1490
Xiao_NOUN Yue_NOUN,8222
XXII (,1023
X_NOUN over_ADP,1009
XXVIII _._,10202
Xiao Jiang_NOUN,1331
X_NOUN N_NOUN,2929
Xavier_NOUN was_VERB,1991
XFFL_NOUN _._,1558
XI THE_NOUN,1814
XVI _NOUN_,16176
Xi Ling,2226
Xing_NOUN suddenly_ADV,1150
XII_NOUN (,4610
Xiao Guo,1776
Xiao Xin,2472
Xia_NOUN Luo_NOUN,33342
Xuan laughed,1027
Xiao Fang_NOUN,2104
Xu &_CONJ,1082
Xiaofeng was_VERB,1063
Xiang_NOUN looked_VERB,1289
XXIII_NOUN CHAPTER,1044
X_NOUN 7d,9495
Xing Kai,1570
Xue and_CONJ,5736
X !,1467
X m_NOUN,3700
X_NOUN T_NOUN,3627
XXXII _._,7847
Xiaobai_NOUN .,1520
Xiao Mi_NOUN,1232
XLII _NOUN_,1395
XII _NUM_,2509
XI --_.,1561
Xander_NOUN _ADP_,1289
Xiao Zhao,3650
X or,4625
Xiao Feng,6177
Xiaoxiao did,1950
X1980 THE_NOUN,1476
Xander_NOUN ,,3027
Xia_NOUN _ADP_,1639
Xianxian ,_.,1535
Xin 's,21648
Xiao_NOUN Xi_NOUN,2298
XVI THE_NOUN,1114
Xiaoxiao_NOUN _PRT_,11639
Xiaoxiao _PRT_,11641
Xcode _VERB_,1258
Xu_NOUN Family_NOUN,4707
X_NOUN are_VERB,4507
Xiao_NOUN Hui,7336
X_NOUN has_VERB,6869
Xinghe_NOUN _PRT_,3191
Xanthomonas _NOUN_,1492
Xð_NOUN Þ,1344
Xin_NOUN to,2862
X3 _NOUN_,1996
Xu_NOUN said_VERB,1869
